date,recession_label,iip_growth_pct,cpi_yoy_pct,gdp_growth_pct,repo_rate_pct,yield_spread_bps,credit_growth_yoy_pct,unemployment_rate_pct,sentiment_score,iip_3m_rolling_avg,cpi_momentum_3m,repo_rate_change,gdp_lag1q,iip_lag1m,yield_spread_lag1,year,month,fiscal_year,finbert_composite,sent_mpc,sent_budget,sent_rbi_governor,sent_econ_survey,ft_composite,ft_mpc,ft_budget,ft_rbi_governor,ft_econ_survey
2013-04-01,0,3.3,9.39,4.6,7.5,170.6,15.3,3.4,0.15,6.633333333333334,-1.3999999999999986,-0.25,4.8,15.2,157.5,2013,April,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-05-01,0,1.0,9.39,4.6,7.5,173.7,15.3,3.4,0.15,6.5,-1.3999999999999986,0.0,4.8,3.3,170.6,2013,May,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-06-01,0,-1.0,9.39,4.6,7.5,165.7,15.3,3.4,0.15,1.1,-1.3999999999999986,0.0,4.8,1.0,173.7,2013,June,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-07-01,0,3.2,9.64,5.2,7.5,160.3,15.0,3.4,0.15,1.0666666666666669,0.25,0.0,4.6,-1.0,165.7,2013,July,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-08-01,0,4.4,9.64,5.2,7.5,155.9,15.0,3.4,0.15,2.2,0.25,0.0,4.6,3.2,160.3,2013,August,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-09-01,0,6.8,9.64,5.2,7.5,141.6,15.0,3.4,0.15,4.8,0.25,0.0,4.6,4.4,155.9,2013,September,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-10-01,0,1.9,10.09,4.8,7.5,146.5,14.8,3.4,0.15,4.366666666666666,0.4499999999999993,0.0,5.2,6.8,141.6,2013,October,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-11-01,0,3.7,10.09,4.8,7.75,146.5,14.8,3.4,0.15,4.133333333333333,0.4499999999999993,0.25,5.2,1.9,146.5,2013,November,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2013-12-01,0,3.5,10.09,4.8,7.75,159.0,14.8,3.4,0.15,3.033333333333333,0.4499999999999993,0.0,5.2,3.7,146.5,2013,December,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-01-01,0,4.8,8.79,4.6,7.75,149.1,14.5,3.4,0.15,4.0,-1.3000000000000007,0.0,4.8,3.5,159.0,2014,January,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-02-01,0,5.2,8.79,4.6,8.0,125.3,14.5,3.4,0.15,4.5,-1.3000000000000007,0.25,4.8,4.8,149.1,2014,February,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-03-01,0,2.9,8.79,4.6,8.0,143.5,14.5,3.4,0.15,4.3,-1.3000000000000007,0.0,4.8,5.2,125.3,2014,March,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-04-01,0,3.9,8.33,5.7,8.0,133.7,14.2,3.4,0.15,4.0,-0.4599999999999991,0.0,4.6,2.9,143.5,2014,April,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-05-01,0,4.7,8.33,5.7,8.0,128.2,14.2,3.4,0.15,3.8333333333333335,-0.4599999999999991,0.0,4.6,3.9,133.7,2014,May,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-06-01,0,8.3,8.33,5.7,8.0,138.4,14.2,3.4,0.15,5.633333333333333,-0.4599999999999991,0.0,4.6,4.7,128.2,2014,June,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-07-01,0,5.4,7.24,6.0,8.0,140.1,13.9,3.4,0.15,6.133333333333334,-1.09,0.0,5.7,8.3,138.4,2014,July,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-08-01,0,3.5,7.24,6.0,8.0,136.6,13.9,3.4,0.15,5.733333333333334,-1.09,0.0,5.7,5.4,140.1,2014,August,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-09-01,0,4.3,7.24,6.0,8.0,116.5,13.9,3.4,0.15,4.4,-1.09,0.0,5.7,3.5,136.6,2014,September,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-10-01,0,0.3,5.52,6.2,8.0,119.4,13.6,3.4,0.15,2.7,-1.7200000000000006,0.0,6.0,4.3,116.5,2014,October,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-11-01,0,7.4,5.52,6.2,8.0,123.6,13.6,3.4,0.15,4.0,-1.7200000000000006,0.0,6.0,0.3,119.4,2014,November,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2014-12-01,0,4.0,5.52,6.2,8.0,127.9,13.6,3.4,0.15,3.9,-1.7200000000000006,0.0,6.0,7.4,123.6,2014,December,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-01-01,0,1.8,5.11,6.5,8.0,111.3,13.2,3.4,0.15,4.4,-0.4099999999999992,0.0,6.2,4.0,127.9,2015,January,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-02-01,0,3.0,5.11,6.5,7.75,112.3,13.2,3.4,0.15,2.9333333333333336,-0.4099999999999992,-0.25,6.2,1.8,111.3,2015,February,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-03-01,0,2.4,5.11,6.5,7.75,101.3,13.2,3.4,0.15,2.4,-0.4099999999999992,0.0,6.2,3.0,112.3,2015,March,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-04-01,0,0.7,4.87,7.0,7.5,98.7,12.8,3.4,0.15,2.033333333333333,-0.2400000000000002,-0.25,6.5,2.4,101.3,2015,April,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-05-01,0,1.8,4.87,7.0,7.5,117.3,12.8,3.4,0.15,1.6333333333333335,-0.2400000000000002,0.0,6.5,0.7,98.7,2015,May,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-06-01,0,1.0,4.87,7.0,7.5,121.4,12.8,3.4,0.15,1.1666666666666667,-0.2400000000000002,0.0,6.5,1.8,117.3,2015,June,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-07-01,0,1.3,3.69,7.2,7.5,105.8,12.5,3.4,0.15,1.3666666666666665,-1.1800000000000002,0.0,7.0,1.0,121.4,2015,July,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-08-01,0,3.7,3.69,7.2,7.5,115.5,12.5,3.4,0.15,2.0,-1.1800000000000002,0.0,7.0,1.3,105.8,2015,August,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-09-01,0,2.2,3.69,7.2,7.5,108.2,12.5,3.4,0.15,2.4,-1.1800000000000002,0.0,7.0,3.7,115.5,2015,September,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-10-01,0,9.0,5.0,7.5,6.75,97.4,12.0,3.4,0.15,4.966666666666667,1.31,-0.75,7.2,2.2,108.2,2015,October,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-11-01,0,0.8,5.0,7.5,6.75,106.8,12.0,3.4,0.15,4.0,1.31,0.0,7.2,9.0,97.4,2015,November,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2015-12-01,0,3.1,5.0,7.5,6.75,118.2,12.0,3.4,0.15,4.3,1.31,0.0,7.2,0.8,106.8,2015,December,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,0.0,-0.0428,0.1926,-0.0551,0.0926
2016-01-01,0,4.0,5.69,7.3,6.75,102.2,11.8,3.4,0.15,2.6333333333333333,0.6900000000000004,0.0,7.5,3.1,118.2,2016,January,FY16,0.01389,-0.0428,0.1926,-0.0551,0.0926,0.01389,-0.0428,0.1926,-0.0551,0.0926
2016-02-01,0,7.2,5.69,7.3,6.75,118.1,11.8,3.4,0.15,4.766666666666667,0.6900000000000004,0.0,7.5,4.0,102.2,2016,February,FY16,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-03-01,0,5.2,5.69,7.3,6.75,76.4,11.8,3.4,0.15,5.466666666666666,0.6900000000000004,0.0,7.5,7.2,118.1,2016,March,FY16,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-04-01,0,6.0,5.47,7.8,6.75,111.0,11.5,3.4,0.15,6.133333333333333,-0.2200000000000006,0.0,7.3,5.2,76.4,2016,April,FY17,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-05-01,0,7.3,5.47,7.8,6.5,104.1,11.5,3.4,0.15,6.166666666666667,-0.2200000000000006,-0.25,7.3,6.0,111.0,2016,May,FY17,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-06-01,0,8.0,5.47,7.8,6.5,100.8,11.5,3.4,0.15,7.1000000000000005,-0.2200000000000006,0.0,7.3,7.3,104.1,2016,June,FY17,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-07-01,0,4.5,6.07,7.5,6.5,105.5,11.2,3.4,0.15,6.6000000000000005,0.6000000000000005,0.0,7.8,8.0,100.8,2016,July,FY17,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-08-01,0,4.0,6.07,7.5,6.5,85.6,11.2,3.4,0.15,5.5,0.6000000000000005,0.0,7.8,4.5,105.5,2016,August,FY17,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-09-01,0,5.0,6.07,7.5,6.5,104.3,11.2,3.4,0.15,4.5,0.6000000000000005,0.0,7.8,4.0,85.6,2016,September,FY17,0.07167,-0.0428,0.1926,-0.0551,0.0926,0.07167,-0.0428,0.1926,-0.0551,0.0926
2016-10-01,0,4.2,4.2,6.8,6.5,111.3,10.8,3.4,0.15,4.4,-1.87,0.0,7.5,5.0,104.3,2016,October,FY17,0.05669,-0.0428,0.1926,-0.0551,0.0926,0.05669,-0.0428,0.1926,-0.0551,0.0926
2016-11-01,0,5.1,4.2,6.8,6.25,123.9,10.8,3.4,0.15,4.766666666666667,-1.87,-0.25,7.5,4.2,111.3,2016,November,FY17,0.05669,-0.0428,0.1926,-0.0551,0.0926,0.05669,-0.0428,0.1926,-0.0551,0.0926
2016-12-01,0,2.4,4.2,6.8,6.25,105.4,10.8,3.4,0.15,3.9,-1.87,0.0,7.5,5.1,123.9,2016,December,FY17,0.05669,-0.0428,0.1926,-0.0551,0.0926,0.05669,-0.0428,0.1926,-0.0551,0.0926
2017-01-01,0,3.5,3.17,6.5,6.25,104.1,10.4,3.4,0.15,3.6666666666666665,-1.0300000000000002,0.0,6.8,2.4,105.4,2017,January,FY17,0.0209899999999999,-0.0428,0.1926,-0.0551,-0.1454,0.020989999999999998,-0.0428,0.1926,-0.0551,-0.1454
2017-02-01,0,1.2,3.17,6.5,6.25,108.9,10.4,3.4,0.15,2.3666666666666667,-1.0300000000000002,0.0,6.8,3.5,104.1,2017,February,FY17,0.0934049999999999,-0.0153,0.4019,-0.0551,-0.1454,0.09340499999999999,-0.0153,0.4019,-0.0551,-0.1454
2017-03-01,0,4.4,3.17,6.5,6.25,125.0,10.4,3.4,0.1,3.033333333333333,-1.0300000000000002,0.0,6.8,1.2,108.9,2017,March,FY17,0.0934049999999999,-0.0153,0.4019,-0.0551,-0.1454,0.09340499999999999,-0.0153,0.4019,-0.0551,-0.1454
2017-04-01,0,3.2,2.99,6.1,6.25,121.1,10.0,3.4,0.1,2.9333333333333336,-0.1799999999999997,0.0,6.5,4.4,125.0,2017,April,FY18,0.0934049999999999,-0.0153,0.4019,-0.0551,-0.1454,0.09340499999999999,-0.0153,0.4019,-0.0551,-0.1454
2017-05-01,0,2.9,2.99,6.1,6.25,114.6,10.0,3.4,0.08,3.5,-0.1799999999999997,0.0,6.5,3.2,121.1,2017,May,FY18,0.0934049999999999,-0.0153,0.4019,-0.0551,-0.1454,0.09340499999999999,-0.0153,0.4019,-0.0551,-0.1454
2017-06-01,0,-0.3,2.99,6.1,6.25,127.1,10.0,3.4,0.08,1.933333333333333,-0.1799999999999997,0.0,6.5,2.9,114.6,2017,June,FY18,0.0934049999999999,-0.0153,0.4019,-0.0551,-0.1454,0.09340499999999999,-0.0153,0.4019,-0.0551,-0.1454
2017-07-01,0,1.0,2.36,5.7,6.25,125.2,9.8,3.6,0.12,1.2,-0.6300000000000003,0.0,6.1,-0.3,127.1,2017,July,FY18,0.0934049999999999,-0.0153,0.4019,-0.0551,-0.1454,0.09340499999999999,-0.0153,0.4019,-0.0551,-0.1454
2017-08-01,0,4.8,2.36,5.7,6.25,136.2,9.8,3.6,0.12,1.8333333333333333,-0.6300000000000003,0.0,6.1,1.0,125.2,2017,August,FY18,0.1039399999999999,0.0148,0.4019,-0.0551,-0.1454,0.10393999999999998,0.0148,0.4019,-0.0551,-0.1454
2017-09-01,0,4.1,2.36,5.7,6.0,121.9,9.8,3.6,0.2,3.2999999999999994,-0.6300000000000003,-0.25,6.1,4.8,136.2,2017,September,FY18,0.1039399999999999,0.0148,0.4019,-0.0551,-0.1454,0.10393999999999998,0.0148,0.4019,-0.0551,-0.1454
2017-10-01,0,1.8,3.58,6.3,6.0,128.0,9.5,3.8,0.2,3.5666666666666664,1.2200000000000002,0.0,5.7,4.1,121.9,2017,October,FY18,0.1039399999999999,0.0148,0.4019,-0.0551,-0.1454,0.10393999999999998,0.0148,0.4019,-0.0551,-0.1454
2017-11-01,0,8.5,3.58,6.3,6.0,129.9,9.5,3.8,0.2,4.8,1.2200000000000002,0.0,5.7,1.8,128.0,2017,November,FY18,0.1039399999999999,0.0148,0.4019,-0.0551,-0.1454,0.10393999999999998,0.0148,0.4019,-0.0551,-0.1454
2017-12-01,0,7.3,3.58,6.3,6.0,121.6,9.5,3.8,0.2,5.866666666666666,1.2200000000000002,0.0,5.7,8.5,129.9,2017,December,FY18,0.1039399999999999,0.0148,0.4019,-0.0551,-0.1454,0.10393999999999998,0.0148,0.4019,-0.0551,-0.1454
2018-01-01,0,7.5,5.07,7.2,6.0,141.7,10.2,4.0,0.2,7.766666666666666,1.4900000000000002,0.0,6.3,7.3,121.6,2018,January,FY18,0.1039399999999999,0.0148,0.4019,-0.0551,-0.1454,0.10393999999999998,0.0148,0.4019,-0.0551,-0.1454
2018-02-01,0,6.9,5.07,7.2,6.0,143.9,10.2,4.0,0.2,7.233333333333333,1.4900000000000002,0.0,6.3,7.5,141.7,2018,February,FY18,0.088015,-0.0079,0.3753,-0.0551,-0.1454,0.088015,-0.0079,0.3753,-0.0551,-0.1454
2018-03-01,0,5.3,5.07,7.2,6.0,143.8,10.2,4.0,0.05,6.5666666666666655,1.4900000000000002,0.0,6.3,6.9,143.9,2018,March,FY18,0.088015,-0.0079,0.3753,-0.0551,-0.1454,0.088015,-0.0079,0.3753,-0.0551,-0.1454
2018-04-01,0,4.5,4.58,8.1,6.0,143.9,10.8,4.2,0.05,5.5666666666666655,-0.4900000000000002,0.0,7.2,5.3,143.8,2018,April,FY19,0.088015,-0.0079,0.3753,-0.0551,-0.1454,0.088015,-0.0079,0.3753,-0.0551,-0.1454
2018-05-01,0,3.8,4.58,8.1,6.0,134.5,10.8,4.2,0.05,4.533333333333332,-0.4900000000000002,0.0,7.2,4.5,143.9,2018,May,FY19,0.088015,-0.0079,0.3753,-0.0551,-0.1454,0.088015,-0.0079,0.3753,-0.0551,-0.1454
2018-06-01,0,7.0,4.58,8.1,6.0,146.9,10.8,4.2,0.05,5.099999999999999,-0.4900000000000002,0.0,7.2,3.8,134.5,2018,June,FY19,0.088015,-0.0079,0.3753,-0.0551,-0.1454,0.088015,-0.0079,0.3753,-0.0551,-0.1454
2018-07-01,0,6.5,4.17,7.0,6.25,150.0,11.4,4.5,-0.15,5.766666666666666,-0.4100000000000001,0.25,8.1,7.0,146.9,2018,July,FY19,0.088015,-0.0079,0.3753,-0.0551,-0.1454,0.088015,-0.0079,0.3753,-0.0551,-0.1454
2018-08-01,0,4.8,4.17,7.0,6.5,147.7,11.4,4.5,-0.2,6.099999999999999,-0.4100000000000001,0.25,8.1,6.5,150.0,2018,August,FY19,0.2181799999999999,0.364,0.3753,-0.0551,-0.1454,0.21817999999999999,0.364,0.3753,-0.0551,-0.1454
2018-09-01,0,4.6,4.17,7.0,6.5,156.4,11.4,4.5,-0.2,5.299999999999999,-0.4100000000000001,0.0,8.1,4.8,147.7,2018,September,FY19,0.2181799999999999,0.364,0.3753,-0.0551,-0.1454,0.21817999999999999,0.364,0.3753,-0.0551,-0.1454
2018-10-01,0,8.4,3.38,6.6,6.5,164.2,12.0,5.2,-0.2,5.933333333333333,-0.79,0.0,7.0,4.6,156.4,2018,October,FY19,0.2181799999999999,0.364,0.3753,-0.0551,-0.1454,0.21817999999999999,0.364,0.3753,-0.0551,-0.1454
2018-11-01,0,0.2,3.38,6.6,6.5,181.1,12.0,5.2,-0.2,4.4,-0.79,0.0,7.0,8.4,164.2,2018,November,FY19,0.2181799999999999,0.364,0.3753,-0.0551,-0.1454,0.21817999999999999,0.364,0.3753,-0.0551,-0.1454
2018-12-01,0,2.5,3.38,6.6,6.5,165.9,12.0,5.2,-0.2,3.6999999999999993,-0.79,0.0,7.0,0.2,181.1,2018,December,FY19,0.2181799999999999,0.364,0.3753,-0.0551,-0.1454,0.21817999999999999,0.364,0.3753,-0.0551,-0.1454
2019-01-01,0,1.6,2.05,6.3,6.5,168.6,11.6,5.8,-0.2,1.433333333333333,-1.33,0.0,6.6,2.5,165.9,2019,January,FY19,0.2181799999999999,0.364,0.3753,-0.0551,-0.1454,0.21817999999999999,0.364,0.3753,-0.0551,-0.1454
2019-02-01,0,0.2,2.05,6.3,6.5,167.0,11.6,5.8,-0.2,1.433333333333333,-1.33,0.0,6.6,1.6,168.6,2019,February,FY19,0.07889,-0.0314,0.3723,-0.0551,-0.1454,0.07889,-0.0314,0.3723,-0.0551,-0.1454
2019-03-01,0,2.7,2.05,6.3,6.25,150.2,11.6,5.8,0.18,1.4999999999999991,-1.33,-0.25,6.6,0.2,167.0,2019,March,FY19,0.07889,-0.0314,0.3723,-0.0551,-0.1454,0.07889,-0.0314,0.3723,-0.0551,-0.1454
2019-04-01,0,3.2,2.99,5.8,6.25,170.6,11.2,6.2,0.18,2.0333333333333328,0.9400000000000004,0.0,6.3,2.7,150.2,2019,April,FY20,0.07889,-0.0314,0.3723,-0.0551,-0.1454,0.07889,-0.0314,0.3723,-0.0551,-0.1454
2019-05-01,0,4.5,2.99,5.8,6.0,172.9,11.2,6.2,0.22,3.4666666666666663,0.9400000000000004,-0.25,6.3,3.2,170.6,2019,May,FY20,0.07889,-0.0314,0.3723,-0.0551,-0.1454,0.07889,-0.0314,0.3723,-0.0551,-0.1454
2019-06-01,0,1.3,2.99,5.8,6.0,198.1,11.2,6.2,0.22,3.0,0.9400000000000004,0.0,6.3,4.5,172.9,2019,June,FY20,0.07889,-0.0314,0.3723,-0.0551,-0.1454,0.07889,-0.0314,0.3723,-0.0551,-0.1454
2019-07-01,0,4.9,3.15,5.0,5.75,118.1,10.5,7.2,0.25,3.5666666666666664,0.1599999999999997,-0.25,5.8,1.3,198.1,2019,July,FY20,0.07889,-0.0314,0.3723,-0.0551,-0.1454,0.07889,-0.0314,0.3723,-0.0551,-0.1454
2019-08-01,1,-1.4,3.15,5.0,5.75,110.9,10.5,7.2,0.25,1.5999999999999996,0.1599999999999997,0.0,5.8,4.9,118.1,2019,August,FY20,0.05985,-0.0858,0.3723,-0.0551,-0.1454,0.05985,-0.0858,0.3723,-0.0551,-0.1454
2019-09-01,1,-4.6,3.15,5.0,5.4,107.1,10.5,7.2,0.3,-0.3666666666666668,0.1599999999999997,-0.3499999999999996,5.8,-1.4,110.9,2019,September,FY20,0.05985,-0.0858,0.3723,-0.0551,-0.1454,0.05985,-0.0858,0.3723,-0.0551,-0.1454
2019-10-01,1,-6.6,4.62,4.2,5.4,92.9,9.8,7.5,0.3,-4.2,1.4700000000000002,0.0,5.0,-4.6,107.1,2019,October,FY20,0.05985,-0.0858,0.3723,-0.0551,-0.1454,0.05985,-0.0858,0.3723,-0.0551,-0.1454
2019-11-01,1,2.1,4.62,4.2,5.15,108.5,9.8,7.5,0.28,-3.033333333333333,1.4700000000000002,-0.25,5.0,-6.6,92.9,2019,November,FY20,0.05985,-0.0858,0.3723,-0.0551,-0.1454,0.05985,-0.0858,0.3723,-0.0551,-0.1454
2019-12-01,0,0.4,4.62,4.2,5.15,119.7,9.8,7.5,0.28,-1.366666666666667,1.4700000000000002,0.0,5.0,2.1,108.5,2019,December,FY20,0.05985,-0.0858,0.3723,-0.0551,-0.1454,0.05985,-0.0858,0.3723,-0.0551,-0.1454
2020-01-01,0,2.2,7.59,4.3,5.15,185.4,9.2,7.2,0.28,1.5666666666666664,2.97,0.0,4.2,0.4,119.7,2020,January,FY20,0.05985,-0.0858,0.3723,-0.0551,-0.1454,0.05985,-0.0858,0.3723,-0.0551,-0.1454
2020-02-01,0,5.2,7.59,4.3,5.15,168.4,9.2,7.2,0.28,2.6,2.97,0.0,4.2,2.2,185.4,2020,February,FY20,0.0254999999999999,-0.0858,0.2578,-0.0551,-0.1454,0.02226,-0.0858,0.247,-0.0551,-0.1454
2020-03-01,1,-18.7,7.59,4.3,5.15,65.6,9.2,7.2,0.28,-3.766666666666667,2.97,0.0,4.2,5.2,168.4,2020,March,FY20,-0.1027749999999999,-0.4523,0.2578,-0.0551,-0.1454,-0.10601499999999997,-0.4523,0.247,-0.0551,-0.1454
