quarter,date,unemployment_rate_pct,notes,source,methodology
2022-Q4,2023-01-01,7.0,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2023-Q1,2023-04-01,6.8,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2023-Q2,2023-07-01,6.5,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2023-Q3,2023-10-01,6.2,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2023-Q4,2024-01-01,6.0,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2024-Q1,2024-04-01,5.8,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2024-Q2,2024-07-01,5.5,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2024-Q3,2024-10-01,5.2,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2024-Q4,2025-01-01,5.0,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2025-Q1,2025-04-01,4.9,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2025-Q2,2025-07-01,4.8,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2025-Q3,2025-10-01,4.7,,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
2026-Q1,2026-01-01,4.8,Estimated,CMIE Consumer Pyramids / PLFS (Periodic Labour Force Survey) / MoSPI,Urban + Rural combined (UPSS basis)
