date,recession_label,event,description,definition,source
2014-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2015-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2016-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2017-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2018-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-08-01,1,Pre-COVID industrial contraction,IIP -1.4%. GDP slowing to ~4.5%.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-09-01,1,Pre-COVID stress,IIP -4.6%. Credit crunch. NBFC crisis.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-10-01,1,Pre-COVID stress peak,IIP -6.6%. 45-year unemployment high.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-11-01,1,Borderline recession,IIP +2.1% (bounce). GDP 4.1%.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2019-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-03-01,1,COVID shock begins,IIP -18.7%. Lockdown announced.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-04-01,1,COVID peak contraction,IIP -57.3%. GDP -23.9%. Full lockdown.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-05-01,1,COVID contraction,IIP -33.4%. Partial lockdown.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-06-01,1,COVID contraction,IIP -16.6%. Unlock 1.0 begins.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-07-01,1,Deep recession,IIP -10.5%. GDP -7.4%.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-08-01,1,Late recession,IIP -7.1%. Partial recovery.,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2020-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2021-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2022-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2023-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2024-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-03-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-04-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-05-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-06-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-07-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-08-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-09-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-10-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-11-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2025-12-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2026-01-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
2026-02-01,0,Normal period,,1 = Recession (IIP contraction + GDP stress); 0 = Normal,Author-defined based on RBI MPC + MOSPI + CMIE data
