date,ml_prob,agent_score,final_score,actual
2023-03-01,0.02,0.08,0.044,0
2023-04-01,0.013,0.0,0.008,0
2023-05-01,0.013,0.0,0.008,0
2023-06-01,0.013,0.0,0.008,0
2023-07-01,0.0,0.14,0.056,0
2023-08-01,0.16,0.215,0.182,0
2023-09-01,0.163,0.215,0.184,0
2023-10-01,0.177,0.075,0.136,0
2023-11-01,0.187,0.075,0.142,0
2023-12-01,0.173,0.075,0.134,0
2024-01-01,0.177,0.075,0.136,0
2024-02-01,0.183,0.075,0.14,0
2024-03-01,0.183,0.075,0.14,0
2024-04-01,0.183,0.075,0.14,0
2024-05-01,0.183,0.075,0.14,0
2024-06-01,0.183,0.075,0.14,0
2024-07-01,0.207,0.075,0.154,0
2024-08-01,0.023,0.0,0.014,0
2024-09-01,0.023,0.0,0.014,0
2024-10-01,0.0,0.14,0.056,0
2024-11-01,0.02,0.14,0.068,0
2024-12-01,0.0,0.14,0.056,0
2025-01-01,0.0,0.0,0.0,0
2025-02-01,0.0,0.0,0.0,0
2025-03-01,0.003,0.0,0.002,0
2025-04-01,0.0,0.0,0.0,0
2025-05-01,0.003,0.0,0.002,0
2025-06-01,0.0,0.0,0.0,0
2025-07-01,0.11,0.0,0.066,0
2025-08-01,0.137,0.0,0.082,0
2025-09-01,0.2,0.0,0.12,0
2025-10-01,0.283,0.04,0.186,0
2025-11-01,0.173,0.04,0.12,0
2025-12-01,0.209,0.04,0.142,0
2026-01-01,0.243,0.04,0.162,0
2026-02-01,0.223,0.0,0.134,0
