date,walr_fresh_loans_pct,walr_outstanding_pct,wadtdr_fresh_deposits_pct,wadtdr_outstanding_pct,mclr_1y_pct,source,notes
2020-01-01,9.2,8.5,5.5,5.1,8.7,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2020-04-01,8.8,8.1,5.0,4.6,8.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2020-07-01,8.5,7.9,4.8,4.4,8.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2020-10-01,8.3,7.7,4.5,4.2,7.800000000000001,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2021-01-01,8.2,7.6,4.4,4.0,7.699999999999999,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2021-04-01,8.1,7.5,4.3,3.9,7.6,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2021-07-01,8.0,7.4,4.2,3.8,7.5,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2021-10-01,7.9,7.3,4.1,3.7,7.4,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2022-01-01,7.9,7.3,4.0,3.7,7.4,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2022-04-01,8.1,7.5,4.2,3.9,7.6,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2022-07-01,8.5,7.9,4.8,4.4,8.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2022-10-01,9.0,8.4,5.4,5.0,8.5,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2023-01-01,9.4,8.7,5.8,5.4,8.9,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2023-04-01,9.6,8.9,6.0,5.6,9.1,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2023-07-01,9.7,9.0,6.1,5.7,9.2,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2023-10-01,9.8,9.1,6.2,5.8,9.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2024-01-01,9.8,9.1,6.2,5.8,9.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2024-04-01,9.8,9.1,6.2,5.8,9.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2024-07-01,9.8,9.1,6.2,5.8,9.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2024-10-01,9.7,9.1,6.1,5.7,9.2,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2025-01-01,9.5,9.1,5.9,5.7,9.0,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2025-04-01,9.3,9.1,5.8,5.7,8.8,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2025-07-01,9.1,9.1,5.7,5.7,8.6,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2025-10-01,8.8,9.0,5.7,6.6,8.3,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2025-12-01,8.28,9.06,5.67,6.68,7.779999999999999,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,
2026-01-01,8.67,9.04,5.66,6.64,8.17,RBI Monetary Policy Report / Lending & Deposit Rates Press Release Feb 2026,Actual from RBI Feb 2026 release
