date,cpi_yoy_pct,series,base_year,source
2020-08-01,6.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-09-01,7.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-10-01,7.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-11-01,6.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2020-12-01,4.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-01-01,4.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-02-01,5.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-03-01,5.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-04-01,4.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-05-01,6.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-06-01,6.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-07-01,5.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-08-01,5.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-09-01,4.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-10-01,4.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-11-01,4.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2021-12-01,5.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-01-01,6.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-02-01,6.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-03-01,7.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-04-01,7.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-05-01,7.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-06-01,7.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-07-01,6.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-08-01,7.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-09-01,7.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-10-01,6.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-11-01,5.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2022-12-01,5.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-01-01,6.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-02-01,6.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-03-01,5.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-04-01,4.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-05-01,4.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-06-01,4.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-07-01,7.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-08-01,6.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-09-01,5.0,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-10-01,4.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-11-01,5.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2023-12-01,5.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-01-01,5.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-02-01,5.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-03-01,4.9,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-04-01,4.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-05-01,4.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-06-01,5.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-07-01,3.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-08-01,3.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-09-01,5.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-10-01,6.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-11-01,5.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2024-12-01,5.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-01-01,4.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-02-01,3.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-03-01,3.3,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-04-01,3.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-05-01,2.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-06-01,2.7,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-07-01,2.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-08-01,2.1,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-09-01,1.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-10-01,0.4,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-11-01,1.5,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2025-12-01,0.6,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2026-01-01,2.8,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
2026-02-01,3.2,CPI Combined (Urban+Rural),2012,MOSPI / RBI DBIE
